,SITEVISITID,METHOD,OBS_YEAR,REGION,REGION_NAME,ISLAND,POP_STATUS,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,SEC_NAME,SITE,ISL_CODE,ISL_SLOPE,SITE_SLOPE_100m,SITE_SLOPE_200m,SITE_SLOPE_400m,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,DEPTH,HARD_CORAL,SOFT_CORAL,MA,CCA,TA,SAND,CYANO,OTHER_BENTHIC,ComplexityValue,MEAN_SH,SD_SH_DIFF,MAX_HEIGHT,nCounts,nReps,PISCIVORE,PLANKTIVORE,PRIMARY,SECONDARY,UNKNOWN,TotFish
1,2007,nSPC,2010,PRIAs,Pacific Remote Island Areas,Johnston,U,Johnston,2010,ForereefMid,Johnston,JOH-00106,JOH,,6.647379198,7.718016781,8.70466451,25/01/2010,Forereef,Mid,16.77455,-169.50465,13,10,0,3,5,73.25,8.75,NA,0,2.25,NA,NA,NA,4,2,16.5729668,25.35495079,18.4728387,6.52506755,0,66.92582384
2,2010,nSPC,2010,PRIAs,Pacific Remote Island Areas,Johnston,U,Johnston,2010,ForereefDeep,Johnston,JOH-00112,JOH,,11.64603252,11.76927289,10.68625756,25/01/2010,Forereef,Deep,16.76768,-169.52347,24,6,0,4,3.5,79,7.5,NA,0,1.5,NA,NA,NA,2,1,0.80207945,0.823102202,13.02228668,8.475067362,0,23.12253569
3,2011,nSPC,2010,PRIAs,Pacific Remote Island Areas,Johnston,U,Johnston,2010,ForereefDeep,Johnston,JOH-00110,JOH,,9.299030289,8.413512478,8.780356308,24/01/2010,Forereef,Deep,16.7124,-169.56126,20,16.25,0,2.5,16.25,52.5,12.5,NA,0,2,NA,NA,NA,4,2,12.5234846,13.18827166,28.98545739,5.0039006,0,59.70111425
4,2015,nSPC,2010,PRIAs,Pacific Remote Island Areas,Johnston,U,Johnston,2010,ForereefDeep,Johnston,JOH-00111,JOH,,6.281303498,6.523751378,7.777586411,25/01/2010,Forereef,Deep,16.73732,-169.55008,20,27.5,0,7.5,5,45,15,NA,0,2.5,NA,NA,NA,2,1,0.709487979,1.679293067,5.477738134,4.424958514,0,12.29147769
5,2030,nSPC,2010,PRIAs,Pacific Remote Island Areas,Johnston,U,Johnston,2010,ForereefDeep,Johnston,JOH-00114,JOH,,14.47681898,12.87960152,13.06258407,26/01/2010,Forereef,Deep,16.782,-169.43864,27,25,0,7.5,52.5,5,10,NA,0,2,NA,NA,NA,2,1,2.565330674,0.915947442,6.505610788,2.571155344,0,12.55804425
6,2069,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefDeep,Howland,HOW-00108,HOW,34.25163384,46.85657713,45.8727127,43.37228074,03/02/2010,Forereef,Deep,0.81498,-176.62407,20,11.5,25,0,21,8.75,8.75,NA,0,2,NA,NA,NA,4,2,29.19316859,50.33167859,9.677715711,12.74319212,0,101.945755
7,2072,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefMid,Howland,HOW-00127,HOW,34.25163384,45.23276905,43.04670336,40.84610266,03/02/2010,Forereef,Mid,0.81008,-176.62241,13,26.25,27.5,1.5,22.25,20,2.5,NA,0,2,NA,NA,NA,4,2,15.80782993,15.32161224,9.37288662,9.435667612,0,49.9379964
8,2077,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefDeep,Howland,HOW-00105,HOW,34.25163384,40.5598663,40.26362855,38.87327832,03/02/2010,Forereef,Deep,0.8009,-176.6212,21,35,3.75,1.25,47.5,7.5,5,NA,0,3,NA,NA,NA,4,2,36.60605212,188.7041174,5.750033802,3.768991766,0,234.8291951
9,2078,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefMid,Howland,HOW-00406,HOW,34.25163384,39.91820642,40.90768516,38.78643765,03/02/2010,Forereef,Mid,0.79838,-176.62007,12,62.5,3.75,2.5,22.5,2.5,6.25,NA,0,3.75,NA,NA,NA,4,2,12.00518807,51.80277643,13.12919857,4.184869505,0,81.12203258
10,2079,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefShallow,Howland,HOW-00117,HOW,34.25163384,41.60920012,42.84086378,38.68657972,03/02/2010,Forereef,Shallow,0.80582,-176.62128,4,53.75,5,1.25,37.5,2.5,0,NA,0,3,NA,NA,NA,4,2,26.20037064,13.87143853,20.34064787,32.8511411,0,93.26359815
11,2081,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefDeep,Howland,HOW-00104,HOW,34.25163384,22.93798719,18.38830918,23.20613988,04/02/2010,Forereef,Deep,0.80846,-176.61009,22,30,0,1.25,27.5,15,1.25,NA,0,2.25,NA,NA,NA,4,2,28.8480996,63.41961461,14.68004579,36.22767846,0,143.1754385
12,2082,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefShallow,Howland,HOW-00112,HOW,34.25163384,8.129675668,14.18922784,19.00709133,04/02/2010,Forereef,Shallow,0.81667,-176.61421,5,27.5,0,2.5,42.5,27.5,0,NA,0,2.25,NA,NA,NA,4,2,1.519363269,4.406267635,17.10840585,3.561929981,0,26.59596673
13,2083,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefMid,Howland,HOW-00114,HOW,34.25163384,18.8569056,17.61624792,23.03933604,04/02/2010,Forereef,Mid,0.80604,-176.60976,12,23.75,0,1.75,40,9.5,0,NA,0,4,NA,NA,NA,4,2,26.54050034,17.66033065,8.856258593,16.94058737,0,69.99767695
14,2085,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefDeep,Howland,HOW-00100,HOW,34.25163384,23.70166246,20.0957688,23.73404934,04/02/2010,Forereef,Deep,0.81117,-176.61102,22,16.25,0,0.5,54.5,16.25,12.5,NA,0,1.75,NA,NA,NA,4,2,15.68987115,12.08258706,10.07230463,11.57451866,0,49.4192815
